2016-2017,2017-2018,2018-2019
0.61,0.45,0.255
0.32,.51,0.45
0.30,.28,.59
1,0.69,0.5
0.44,.76,1.11
1.0,0.42,0.77
0.76,0.72,0.95
0.69,0.61,.67
0.5,0.98,.87
1.12,1.02,0.95
0.45,0.28,0.32
0.43,0.58,0.35
0.92,1.09,0.81
0.74,0.68,0
0.61,0.58,0.80
0.91,0.74,1.13
0.36,0.51,0.31
0.32,0.43,0.56
0.73,0.99,0.93
0.28,0.09,0.08
