2016-2017,2017-2018,2018-2019
3.72,3.06,2.64
0.92,1.66,2.36
2.26,1.88,2.18
5.04,2.95,2.47
3.77,3.44,4.67
4.35,3.33,4.55
5.41,3.79,4.41
3.2,4.22,4.79
1.15,2.70,2.29
5.65,3.89,4.25
3.5,3.34,2.94
2.45,2.70,1.47
3.42,2.24,3.23
1.57,1.93,0
4.9,5.76,4.39
5.46,7.04,7.53
0.90,1.14,0.88
7.95,8.21,8.44
2.53,3.75,3.62
2.62,1.06,2.17
