2016-2017,2017-2018,2018-2019
11.65,11,8.62
6.68,8.95,10.25
3.30,7.35,5.74
9.17,9.20,6.67
9.72,12.91,15.29
10.31,7.06,10.14
11.17,9.54,10.08
7.46,12.97,12.72
4.72,18.17,14.84
15.12,11.56,9.32
6.14,7.26,6.13
6.74,7.72,8.41
5.42,7.18,8.84
5.90,9.52,2
8.94,10.35,9.83
19.54,17.23,15.74
5.0,9.29,5.38
19.95,14.91,17.06
6.34,11.77,12.86
5.68,3.42,3.67
