2016-2017,2017-2018,2018-2019
2.16,1.63,1.34
1.444,1.60,2.07
0.71,1.09,1.33
1.41,0.96,0.95
1.21,2.325,2.17
1.6,0.93,2.08
1.39,1.23,1.23
1.19,1.75,2.23
2.63,7.48,5.36
5.92,5.45,3.29
0.55,1.03,0.94
0.71,1.05,1.18
4.08,2.42,4.16
2.75,3.16,0
1.09,1.44,0.88
4.57,4.18,4.68
1.09,1.89,1.13
2.16,1.87,1.81
0.59,1.21,0.69
0.5,0.42,1.0
