2016-2017,2017-2018,2018-2019
0.76,0.58,0.82
0.13,.22,0.49
.07,0.19,0.38
1.92,1.13,1.375
0.48,0.61,0.82
2.18,2.03,2.24
1.17,0.94,1.01
0.84,1.35,1.23
1.15,0.67,0.4
0.60,0.89,0.95
1.77,2.02,1.39
0.40,0.3,0.12
1.33,1.02,1.26
0.32,0.41,0
2.17,2.67,1.76
0.81,1.07,1.06
0.09,0.46,0.5
2.74,3.04,4.08
0.77,0.73,0.83
0.86,0.54,0.92
