2016-2017,2017-2018,2018-2019
26,23.23,16
13.55,17.23,21.25
13.45,17.65,17.62
29,25,18.42
18.44,24.59,28.48
27.82,19,25.37
30.20,25.72,28.44
21.2,30.71,29.27
14.70,35.1,30.16
33.40,30.95,31.39
11.9,14,12.1
15.55,16.55,15.82
18.92,18.51,25.81
20.47,23.68,5
27.29,28.03,21.95
34.2,32.97,33.74
17.18,19.74,14.22
27.73,26.36,28.31
20.32,27.54,26.03
14.43,8.63,10.83
